blue_yellow_forming_layer_log_exposure_lux_seconds,blue_yellow_forming_layer_density_status_m,green_magenta_forming_layer_log_exposure_lux_seconds,green_magenta_forming_layer_density_status_m,red_cyan_forming_layer_log_exposure_lux_seconds,red_cyan_forming_layer_density_status_m
-1.2434,0.803,-1.2434,0.4822,-1.2434,0.0626
-0.8621,0.8195,-1.026,0.4841,-1.0432,0.0654
-0.7191,0.8354,-0.8464,0.5016,-0.824,0.0945
-0.5951,0.8655,-0.6289,0.5435,-0.5666,0.1606
-0.4998,0.9021,-0.4399,0.6115,-0.4522,0.2031
-0.4807,0.9031,-0.2697,0.7099,-0.4236,0.2066
-0.2805,0.9981,-0.0996,0.7896,-0.3473,0.2423
-0.1375,1.0806,0.0233,0.8571,-0.3187,0.2472
0.0436,1.2003,0.1273,0.9277,-0.2139,0.2925
0.0722,1.21,0.3542,1.0541,0.0245,0.4159
0.7968,1.6891,0.4109,1.0773,0.1865,0.4835
0.873,1.7229,0.496,1.1252,0.1961,0.495
1.0446,1.8234,0.5811,1.1589,0.32,0.5506
1.0733,1.8311,0.6189,1.1824,0.3295,0.5617
1.3974,2.0223,0.7134,1.2189,0.4916,0.6314
1.4737,2.0535,1.1955,1.4595,0.5297,0.6548
1.6453,2.1538,1.3563,1.5643,0.7013,0.7105
1.6739,2.1616,1.5453,1.6667,1.0159,0.8366
1.9217,2.3074,1.5642,1.6709,1.1208,0.8975
1.998,2.3452,1.7817,1.8069,1.178,0.9193
2.0171,2.3462,1.8762,1.8539,1.1875,0.931
2.1982,2.4225,1.9235,1.87,1.2161,0.937
2.2173,2.4226,1.9707,1.9006,1.2542,0.9635
2.3222,2.4657,2.0558,1.9391,1.3782,1.0206
2.408,2.4838,2.5285,2.1297,1.5402,1.1265
2.5605,2.503,,,1.5974,1.1518
,,,,1.607,1.1669
,,,,1.8929,1.3314
,,,,2.5603,1.6636
