blue_yellow_forming_layer_wavelength_nm,blue_yellow_forming_layer_log_sensitivity,green_magenta_forming_layer_wavelength_nm,green_magenta_forming_layer_log_sensitivity,red_cyan_forming_layer_wavelength_nm,red_cyan_forming_layer_log_sensitivity
399.3856,0.21,489.492,-2.4905,532.3685,-2.9977
408.3108,0.2146,494.544,-2.1563,544.2935,-2.8301
426.4691,0.0328,505.7707,-1.787,553.0386,-2.6693
432.6245,-0.0566,520.0847,-1.6506,558.6036,-2.4903
439.3954,-0.2026,520.646,-1.6153,576.4912,-2.0855
440.3187,-0.1975,522.8913,-1.5772,598.3538,-1.4878
444.3197,-0.2955,527.9433,-1.5268,602.3288,-1.4103
445.243,-0.2918,534.6793,-1.374,622.6014,-1.1355
457.8615,-0.5851,535.2406,-1.3387,633.334,-0.9236
466.7868,-0.8601,536.0826,-1.3372,634.924,-0.9144
467.7101,-0.8599,542.8186,-1.1363,635.3215,-0.8871
480.0208,-1.3015,546.1866,-1.0751,636.9115,-0.8771
480.3286,-1.2841,546.748,-1.0345,637.309,-0.8503
481.5596,-1.3221,552.0806,-0.9508,645.2591,-0.7265
494.7936,-1.8549,555.7293,-0.9521,653.6066,-0.5256
498.4869,-1.9638,566.6753,-1.0577,655.5941,-0.5047
499.1024,-2.0299,576.7793,-1.3266,657.5816,-0.5031
500.0257,-2.0331,579.3053,-1.4629,660.3641,-0.5484
500.6412,-2.089,586.6026,-2.1829,667.1217,-0.8851
501.5645,-2.0945,590.532,-2.463,681.4317,-1.962
510.4898,-2.453,601.478,-2.9635,690.9718,-2.5829
511.4131,-2.527,,,,
513.8753,-2.5895,,,,
520.3384,-2.895,,,,
521.2617,-2.9847,,,,
522.185,-2.9936,,,,
